id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53661091,Hart Suite 16 by AvantStay | Minutes to Broadway,338667310,AvantStay Nashville,,District 17,36.142014,-86.761673,Entire home/apt,209,1,12,2023-06-11,0.37,159,314,0,2019064148
53661131,Hart Suite 2 by AvantStay|DT Nashville Town House,338667310,AvantStay Nashville,,District 17,36.14208,-86.76183,Entire home/apt,200,1,11,2023-05-21,0.33,159,317,0,2019064166
53982564,The White House - Hot Tub + 1.2 miles to Broadway!,1542713,Brandon,,District 19,36.169036865234375,-86.79490661621094,Entire home/apt,413,2,68,2024-09-08,2.06,40,302,14,
53987628,The Nash! 4bd 3.5b CitySkyline Roof Views!Parking!,420371928,Stay Wandering,,District 5,36.17856,-86.75957,Entire home/apt,210,1,223,2024-09-02,6.75,10,332,82,
53990192,1 King 2 Queens | Garage | Yard | Washer & Dryer,307052796,LiVV,,District 11,36.24269,-86.63492,Entire home/apt,112,30,4,2023-06-25,0.13,9,286,0,
53999385,Cozy Suite in a Revamped Dorm Room!,6855810,UrbanNashville,,District 19,36.145744,-86.795975,Private room,65,1,62,2024-09-03,2.00,115,139,20,
54000321,Music City Harmony - Beautiful Home - Lux Rooftop,101426897,Host Extraordinaires,,District 5,36.20003,-86.75456,Entire home/apt,212,2,100,2024-08-26,3.07,207,335,27,
54002201,Ultra Modern Townhome - Luxury Private Rooftop,101426897,Host Extraordinaires,,District 5,36.17876,-86.75555,Entire home/apt,238,2,75,2024-09-05,2.32,207,200,18,
54002249,Modern Luxury Townhome - Relaxing Rooftop Terrace,101426897,Host Extraordinaires,,District 5,36.1787,-86.75599,Entire home/apt,240,2,74,2024-09-02,2.24,207,182,23,
54002303,Ultra Modern Townhome - Large Private Rooftop,101426897,Host Extraordinaires,,District 5,36.1788,-86.7559,Entire home/apt,223,2,48,2024-07-28,1.45,207,188,14,
54002375,East Nash Enclave – Movie Room – Private Yard,101426897,Host Extraordinaires,,District 5,36.18665,-86.76239,Entire home/apt,200,2,29,2024-08-18,2.36,207,343,28,
54002437,Stunning Luxurious Townhome - Private Rooftop Area,101426897,Host Extraordinaires,,District 5,36.17866,-86.75662,Entire home/apt,241,2,66,2024-09-16,2.03,207,193,18,
54003598,The Dolly! East Nash!4bd! 5 min to DT!Rooftop!,420371928,Stay Wandering,,District 5,36.17872,-86.75945,Entire home/apt,127,1,223,2024-09-02,6.78,10,315,89,
54003872,Just Nashin! Skytop Lounge!4 bd/3.5 ba!5 min 2 DT,420371928,Stay Wandering,,District 5,36.17789,-86.75994,Entire home/apt,139,1,235,2024-09-02,7.26,10,316,88,
54004777,Cozy Suite in a Historic Building!  GREAT location,6855810,UrbanNashville,,District 19,36.145741,-86.795998,Private room,65,1,83,2024-09-14,2.60,115,135,30,
54005785,Charming Suite in Music Row! Great Location!,6855810,UrbanNashville,,District 19,36.14571,-86.795937,Private room,69,1,66,2024-09-03,2.12,115,139,18,
54006529,Modern house—A perfect home away from home,100823023,Alex,,District 6,36.189,-86.7433,Entire home/apt,223,1,242,2024-09-16,8.27,1,137,92,2022005028
54007467,3 Kings | Garage | Front Yard | Washer & Dryer,307052796,LiVV,,District 11,36.2448,-86.63549,Entire home/apt,113,30,12,2022-02-27,0.36,9,286,0,
54007688,"Entire East Nashville Home!!
10 Minutes Down town.",437607919,Katrinia,,District 5,36.19187,-86.74936,Entire home/apt,,2,37,2024-09-02,1.15,1,356,13,
